Nom	Type	Rareté	Force	Perception	Endurence	Charisme	Intelligence	Agillité	Chance	Min dégat	Max dégat
Poing	Arme	Deffault	0	0	0	0	0	0	0		
Fusil à air comp. rouillé	Arme	Commun	0	0	0	0	0	0	0	0	1
Fusil à air comprimé	Arme	Commun	0	0	0	0	0	0	0	0	2
Pistolet .32 rouillé	Arme	Commun	0	0	0	0	0	0	0	1	1
Fusil à air comp. amélioré	Arme	Commun	0	0	0	0	0	0	0	0	3
Pistolet .32	Arme	Commun	0	0	0	0	0	0	0	1	2
Pistolet .32 amélioré	Arme	Commun	0	0	0	0	0	0	0	1	3
Pistolet 10 mm rouillé	Arme	Commun	0	0	0	0	0	0	0	2	2
Pistolet improvisé	Arme	Commun	0	0	0	0	0	0	0	1	3
Pistolet 10 mm	Arme	Commun	0	0	0	0	0	0	0	2	3
Calibre .44 à lunette rouillé	Arme	Commun	0	0	0	0	0	0	0	3	3
Pistolet 10 mm amélioré	Arme	Commun	0	0	0	0	0	0	0	2	4
Calibre .44 à lunette	Arme	Commun	0	0	0	0	0	0	0	3	4
Pistolet improvisé à haute sensibilité	Arme	Commun	0	0	0	0	0	0	0	2	5
Calibre .44 à lunette amélioré	Arme	Commun	0	0	0	0	0	0	0	3	5
Fusil à levier rouillé	Arme	Commun	0	0	0	0	0	0	0	4	4
Fusil à levier	Arme	Commun	0	0	0	0	0	0	0	4	5
Fusil à levier amélioré	Arme	Commun	0	0	0	0	0	0	0	4	6
Fusil de chasse rouillé	Arme	Commun	0	0	0	0	0	0	0	5	5
Pistolet improvisé lourd	Arme	Commun	0	0	0	0	0	0	0	3	7
Fusil de chasse	Arme	Commun	0	0	0	0	0	0	0	5	6
Fusil canon scié rouillé	Arme	Commun	0	0	0	0	0	0	0	6	6
Fusil de chasse amélioré	Arme	Commun	0	0	0	0	0	0	0	5	7
Fusil improvisé	Arme	Commun	0	0	0	0	0	0	0	5	7
Fusil canon scié	Arme	Commun	0	0	0	0	0	0	0	6	7
Fusil canon scié amélioré	Arme	Commun	0	0	0	0	0	0	0	6	8
Pistolet laser rouillé	Arme	Commun	0	0	0	0	0	0	0	7	7
Fusil à air comp. renforcé	Arme	Rare	0	0	0	0	0	0	0	0	4
Fusil à air comp. perforant	Arme	Rare	0	0	0	0	0	0	0	0	5
Pistolet .32 renforcé	Arme	Rare	0	0	0	0	0	0	0	1	4
Pistolet .32 perforant	Arme	Rare	0	0	0	0	0	0	0	1	5
Pistolet 10 mm renforcé	Arme	Rare	0	0	0	0	0	0	0	2	5
Pistolet 10 mm perforant	Arme	Rare	0	0	0	0	0	0	0	2	6
Queue de billard	Arme	Rare	0	0	0	0	0	0	0	0	8
Calibre .44 à lunette renforcé	Arme	Rare	0	0	0	0	0	0	0	3	6
Calibre .44 à lunette perforant	Arme	Rare	0	0	0	0	0	0	0	3	7
Fusil à levier renforcé	Arme	Rare	0	0	0	0	0	0	0	4	7
Fusil à levier perforant	Arme	Rare	0	0	0	0	0	0	0	4	8
Fusil de chasse renforé	Arme	Rare	0	0	0	0	0	0	0	5	8
Pistolet improvisé à lunette	Arme	Rare	0	0	0	0	0	0	0	4	9
Couteau de cuisine	Arme	Rare	0	0	0	0	0	0	0	3	11
Fusil de chasse perforant	Arme	Rare	0	0	0	0	0	0	0	5	9
Fusil canon scié renforcé	Arme	Rare	0	0	0	0	0	0	0	6	9
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Pistolet laser	Arme	Rare	0	0	0	0	0	0	0	7	8
Fusil d'assaut rouillé	Arme	Rare	0	0	0	0	0	0	0	8	8
Fusil double canon scié	Arme	Rare	0	0	0	0	0	0	0	6	10
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Pistolet laser modifié	Arme	Rare	0	0	0	0	0	0	0	7	9
Fusil d'assaut	Arme	Rare	0	0	0	0	0	0	0	8	9
Pistolet laser précis	Arme	Rare	0	0	0	0	0	0	0	7	10
Fusil cal .12 rouillé	Arme	Rare	0	0	0	0	0	0	0	9	9
Fusil d'assaut amélioré	Arme	Rare	0	0	0	0	0	0	0	8	10
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Pistolet laser surchargé	Arme	Rare	0	0	0	0	0	0	0	7	11
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil cal .12	Arme	Rare	0	0	0	0	0	0	0	9	10
Fusil d'assaut renforcé	Arme	Rare	0	0	0	0	0	0	0	8	11
Batte de baseball	Arme	Rare	0	0	0	0	0	0	0	5	15
Fusil cal .12 amélioré	Arme	Rare	0	0	0	0	0	0	0	9	11
Fusil d'assaut perforant	Arme	Rare	0	0	0	0	0	0	0	8	12
Fusil de précision rouillé	Arme	Rare	0	0	0	0	0	0	0	10	10
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil cal .12 renforcé	Arme	Rare	0	0	0	0	0	0	0	9	12
Fusil de précision	Arme	Rare	0	0	0	0	0	0	0	10	11
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil cal .12 à double canon	Arme	Rare	0	0	0	0	0	0	0	9	13
Fusil de précision amélioré	Arme	Rare	0	0	0	0	0	0	0	10	12
Pistolet à plasma rouillé	Arme	Rare	0	0	0	0	0	0	0	11	11
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil de précision renforcé	Arme	Rare	0	0	0	0	0	0	0	10	13
Pistolet à plasma	Arme	Rare	0	0	0	0	0	0	0	11	12
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil de précision pénétrant	Arme	Rare	0	0	0	0	0	0	0	10	14
Fusil improvisé à baïonette	Arme	Rare	0	0	0	0	0	0	0	9	15
Fusil laser rouillé	Arme	Rare	0	0	0	0	0	0	0	12	12
Pistolet à plasma modifié	Arme	Rare	0	0	0	0	0	0	0	11	13
Pistolet de Gauss	Arme	Rare	0	0	0	0	0	0	0	12	12
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Fusil laser	Arme	Rare	0	0	0	0	0	0	0	12	13
Pistolet à plasma précis	Arme	Rare	0	0	0	0	0	0	0	11	14
Couteau de boucher	Arme	Rare	0	0	0	0	0	0	0	8	18
Fusil de combat rouillé	Arme	Rare	0	0	0	0	0	0	0	13	13
Fusil laser modifié	Arme	Rare	0	0	0	0	0	0	0	12	14
NaS	Arme	Rare	0	0	0	0	0	0	0	NaN	NaN
Pistolet de Gauss précis	Arme	Rare	0	0	0	0	0	0	0	13	13
Eventreur	Arme	Rare	0	0	0	0	0	0	0	11	16
Fusil de combat	Arme	Rare	0	0	0	0	0	0	0	13	14
Fusil laser précis	Arme	Rare	0	0	0	0	0	0	0	12	15
Fusil à clous rouillé	Arme	Rare	0	0	0	0	0	0	0	14	14
Fusil de combat amélioré	Arme	Rare	0	0	0	0	0	0	0	13	15
Junk jet	Arme	Rare	0	0	0	0	0	0	0	13	15
Pistolet de Gauss amélioré	Arme	Rare	0	0	0	0	0	0	0	14	14
